0766;Hedensted kommun;hedensted.dk
0561;Esbjerg kommun;esbjerg.dk
0849;Jammerbugt kommun;jammerbugt.dk
0665;Lemvig kommun;lemvig.dk
0540;Sønderborg kommun;sonderborg.dk
0159;Gladsaxe kommun;gladsaxe.dk
0411;Christiansø kommun;christianso.dk
0260;Halsnæs kommun;halsnaes.dk
0187;Vallensbæk kommun;vallensbaek.dk
0185;Tårnby kommun;tarnby.dk
0329;Ringsted kommun;ringsted.dk
0482;Langeland kommun;langeland.dk
0671;Struer kommun;struer.dk
0190;Furesø kommun;fureso.dk
0740;Silkeborg kommun;silkeborg.dk
0269;Solrød kommun;solrod.dk
0223;Hørsholm kommun;horsholm.dk
0210;Fredensborg kommun;fredensborg.dk
0751;Aarhus kommun;aarhus.dk
0410;Middelfart kommun;middelfart.dk
0787;Thisted kommun;thisted.dk
0336;Stevns kommun;stevns.dk
0390;Vordingborg kommun;vordingborg.dk
0326;Kalundborg kommun;kalundborg.dk
0580;Aabenraa kommun;aabenraa.dk
0573;Varde kommun;varde.dk
0265;Roskilde kommun;roskilde.dk
0219;Hillerød kommun;hillerod.dk
0153;Brøndby kommun;brondby.dk
0820;Vesthimmerlands kommun;vesthimmerlands.dk
0250;Frederikssund kommun;frederikssund.dk
0851;Aalborg kommun;aalborg.dk
0791;Viborg kommun;viborg.dk
0400;Bornholm kommun;bornholm.dk
0169;HøjeTaastrup kommun;hojetaastrup.dk
0615;Horsens kommun;horsens.dk
0320;Faxe kommun;faxe.dk
0306;Odsherred kommun;odsherred.dk
0151;Ballerup kommun;ballerup.dk
0706;Syddjurs kommun;syddjurs.dk
0167;Hvidovre kommun;hvidovre.dk
0430;Faaborg-Midtfyn kommun;faaborg-midtfyn.dk
0621;Kolding kommun;kolding.dk
0270;Gribskov kommun;gribskov.dk
0727;Odder kommun;odder.dk
0813;Frederikshavn kommun;frederikshavn.dk
0155;Dragør kommun;dragor.dk
0607;Fredericia kommun;fredericia.dk
0450;Nyborg kommun;nyborg.dk
0846;Mariagerfjord kommun;mariagerfjord.dk
0259;Køge kommun;koge.dk
0707;Norddjurs kommun;norddjurs.dk
0550;Tønder kommun;tonder.dk
0165;Albertslund kommun;albertslund.dk
0217;Helsingør kommun;helsingor.dk
0741;Samsø kommun;samso.dk
0730;Randers kommun;randers.dk
0101;København kommun;kobenhavn.dk
0163;Herlev kommun;herlev.dk
0360;Lolland kommun;lolland.dk
0376;Guldborgsund kommun;guldborgsund.dk
0773;Morsø kommun;morso.dk
0746;Skanderborg kommun;skanderborg.dk
0420;Assens kommun;assens.dk
0510;Haderslev kommun;haderslev.dk
0760;Ringkøbing-Skjern kommun;ringkobing-skjern.dk
0479;Svendborg kommun;svendborg.dk
0657;Herning kommun;herning.dk
0240;Egedal kommun;egedal.dk
0161;Glostrup kommun;glostrup.dk
0147;Frederiksberg kommun;frederiksberg.dk
0860;Hjørring kommun;hjorring.dk
0779;Skive kommun;skive.dk
0440;Kerteminde kommun;kerteminde.dk
0492;Ærø kommun;aeroekommune.dk
0480;Nordfyns kommun;nordfyns.dk
0661;Holstebro kommun;holstebro.dk
0825;Læsø kommun;laesoe.dk
0530;Billund kommun;billund.dk
0350;Lejre kommun;lejre.dk
0810;Brønderslev kommun;bronderslev.dk
0230;Rudersdal kommun;rudersdal.dk
0710;Favrskov kommun;favrskov.dk
0316;Holbæk kommun;holbaek.dk
0756;Ikast-Brande kommun;ikast-brande.dk
0253;Greve kommun;greve.dk
0840;Rebild kommun;rebild.dk
0330;Slagelse kommun;slagelse.dk
0201;Allerød kommun;allerod.dk
0340;Sorø kommun;soro.dk
0575;Vejen kommun;vejen.dk
0175;Rødovre kommun;rodovre.dk
0183;Ishøj kommun;ishoj.dk
0157;Gentofte kommun;gentofte.dk
0370;Næstved kommun;naestved.dk
0461;Odense kommun;odense.dk
0563;Fanø kommun;fano.dk
0630;Vejle kommun;vejle.dk
0173;Lyngby-Taarbæk kommun;lyngby-taarbaek.dk
